image_name,box_id,hbox,fbox,vbox,gender,age
khaliji_000108,0,"[731, 105, 54, 54]",,,M,
khaliji_000108,3,"[857, 173, 35, 43]",,,M,
khaliji_000108,4,"[911, 185, 21, 24]",,,M,
khaliji_000108,9,"[1257, 212, 17, 17]",,,M,
khaliji_000108,10,"[1362, 215, 12, 13]",,,M,
khaliji_000108,12,"[1482, 219, 10, 13]",,,M,
khaliji_000104,1,"[645, 25, 88, 121]",,,F,
khaliji_000104,2,"[745, 28, 103, 126]",,,F,
khaliji_000104,0,"[886, 0, 158, 156]",,,F,
khaliji_000129,10,"[181, 331, 131, 150]",,,M,
khaliji_000129,14,"[916, 376, 53, 62]",,,M,
khaliji_000129,13,"[710, 390, 36, 37]",,,M,
khaliji_000129,15,"[974, 392, 31, 35]",,,F,
khaliji_000129,2,"[1080, 374, 25, 26]",,,M,
khaliji_000129,16,"[1145, 382, 44, 50]",,,M,
khaliji_000129,1,"[1390, 335, 58, 71]",,,M,
khaliji_000129,0,"[1660, 302, 94, 109]",,,M,
khaliji_000129,25,"[833, 410, 33, 40]",,,F,
khaliji_000129,27,"[747, 415, 31, 41]",,,F,
khaliji_000129,19,"[613, 396, 31, 36]",,,M,
khaliji_000129,7,"[873, 383, 34, 37]",,,M,
khaliji_000129,5,"[793, 382, 26, 33]",,,M,
khaliji_000129,4,"[771, 388, 30, 31]",,,M,
khaliji_000129,22,"[655, 404, 32, 38]",,,M,
khaliji_000129,17,"[561, 400, 26, 31]",,,M,
khaliji_000129,11,"[381, 393, 27, 32]",,,M,
khaliji_000129,21,"[102, 402, 29, 35]",,,M,
khaliji_000009,3,"[1238, 149, 45, 47]",,,,
khaliji_000009,8,"[790, 214, 64, 74]",,,,
khaliji_000064,6,"[269, 29, 3, 4]",,,,
khaliji_000132,0,"[785, 377, 6, 6]",,,,
khaliji_000132,1,"[836, 377, 7, 8]",,,,
khaliji_000132,3,"[403, 381, 6, 6]",,,,
khaliji_000132,4,"[442, 381, 5, 5]",,,,
khaliji_000132,7,"[611, 382, 5, 6]",,,,
khaliji_000132,8,"[621, 381, 5, 5]",,,,
khaliji_000132,9,"[676, 380, 6, 7]",,,,
khaliji_000132,10,"[695, 380, 6, 7]",,,,
khaliji_000132,11,"[708, 381, 6, 6]",,,,
khaliji_000132,12,"[722, 379, 6, 7]",,,,
khaliji_000132,13,"[730, 379, 7, 8]",,,,
khaliji_000132,14,"[777, 381, 6, 6]",,,,
khaliji_000132,15,"[823, 379, 7, 8]",,,,
khaliji_000132,16,"[851, 381, 6, 7]",,,,
khaliji_000132,17,"[93, 374, 28, 27]",,,,
khaliji_000132,20,"[458, 383, 7, 8]",,,,
khaliji_000132,22,"[665, 384, 7, 7]",,,,
khaliji_000132,23,"[741, 381, 11, 13]",,,,
khaliji_000132,24,"[768, 385, 6, 6]",,,,
khaliji_000132,26,"[76, 387, 18, 20]",,,,
khaliji_000132,28,"[477, 399, 7, 8]",,,,
khaliji_000132,29,"[463, 402, 7, 8]",,,,
khaliji_000132,30,"[656, 398, 17, 19]",,,,
khaliji_000082,0,"[67, 77, 6, 7]",,,,
khaliji_000082,1,"[90, 80, 6, 7]",,,,
khaliji_000115,5,"[817, 471, 22, 21]",,,,
khaliji_000132,2,"[141, 368, 27, 30]",,,M,
khaliji_000132,27,"[360, 388, 30, 31]",,,F,
khaliji_000132,25,"[628, 382, 20, 22]",,,F,
khaliji_000132,5,"[473, 378, 8, 9]",,,M,
khaliji_000132,19,"[320, 384, 9, 11]",,,F,
khaliji_000132,18,"[304, 384, 10, 11]",,,F,
khaliji_000044,3,"[296, 503, 270, 377]",,,F,
khaliji_000044,6,"[472, 612, 282, 396]",,,F,
khaliji_000044,4,"[871, 522, 282, 376]",,,F,
khaliji_000044,2,"[1073, 459, 234, 343]",,,F,
khaliji_000044,5,"[1356, 542, 292, 379]",,,F,
khaliji_000044,1,"[2303, 259, 305, 420]",,,F,
khaliji_000044,0,"[2322, 5, 271, 300]",,,M,
khaliji_000064,8,"[6, 27, 9, 12]",,,F,
khaliji_000064,9,"[103, 29, 8, 9]",,,F,
khaliji_000064,1,"[52, 10, 25, 29]",,,M,
khaliji_000064,4,"[80, 18, 14, 17]",,,M,
khaliji_000064,0,"[153, 2, 28, 29]",,,M,
khaliji_000064,7,"[229, 27, 10, 10]",,,M,
khaliji_000064,2,"[251, 15, 16, 19]",,,M,
khaliji_000064,5,"[280, 24, 7, 8]",,,M,
khaliji_000064,10,"[179, 27, 14, 17]",,,F,
